Show,Minutes
,
"Most popular original online series in the U.S. January 2021, by minutes viewed",
"Ranking of original streaming series titles in the United States from January 11 to 17, 2021, by number of minutes viewed (in millions)",
,
Bridgerton (Netflix),"1,386"
Cobra Kai (Netflix),"1,005"
Night Stalker: The Hunt For a Serial Killer (Netflix),867
Lupin (Netflix),494
Chilling Adventures of Sabrina (Netflix),442
WandaVision (Disney+),434
Disenchantment (Netflix),401
The Crown (Netflix),394
Virgin River (Netflix),340
The Mandalorian (Disney+),339
