Category: All categories

Day,Dogecoin: (United States)
2021-01-26,<1
2021-01-27,1
2021-01-28,22
2021-01-29,100
2021-01-30,34
2021-01-31,17
2021-02-01,15
2021-02-02,9
2021-02-03,8
2021-02-04,22
2021-02-05,13
2021-02-06,12
2021-02-07,29
2021-02-08,28
2021-02-09,19
2021-02-10,12
2021-02-11,9
2021-02-12,8
2021-02-13,6
2021-02-14,7
2021-02-15,8
2021-02-16,6
2021-02-17,6
2021-02-18,6
2021-02-19,5
2021-02-20,4
2021-02-21,4
2021-02-22,4
2021-02-23,4
2021-02-24,4
2021-02-25,4
2021-02-26,3
2021-02-27,2
2021-02-28,2
2021-03-01,3
2021-03-02,3
2021-03-03,3
2021-03-04,2
2021-03-05,2
2021-03-06,2
2021-03-07,2
2021-03-08,4
2021-03-09,4
2021-03-10,3
2021-03-11,2
2021-03-12,2
2021-03-13,2
2021-03-14,4
2021-03-15,3
2021-03-16,2
2021-03-17,2
2021-03-18,2
2021-03-19,2
2021-03-20,2
2021-03-21,2
2021-03-22,1
2021-03-23,1
2021-03-24,1
2021-03-25,1
2021-03-26,1
2021-03-27,1
2021-03-28,1
2021-03-29,1
2021-03-30,1
2021-03-31,1
2021-04-01,3
2021-04-02,2
2021-04-03,1
2021-04-04,1
2021-04-05,1
2021-04-06,2
2021-04-07,2
2021-04-08,1
2021-04-09,1
2021-04-10,1
2021-04-11,5
2021-04-12,3
2021-04-13,8
2021-04-14,24
2021-04-15,21
2021-04-16,87
2021-04-17,36
2021-04-18,24
2021-04-19,30
2021-04-20,39
2021-04-21,20
2021-04-22,16
2021-04-23,19
2021-04-24,11
